channel_id,channel_name,channel_created_at,country,description_len,subscriber_count,total_view_count,total_video_count,uploads_playlist_id,channel_category,note,channel_age_years,subscriber_tier,avg_views_per_video,video_count_dataset,total_views_dataset,avg_views_per_video_dataset,median_views_per_video,avg_engagement_rate,short_form_count,viral_count,commercial_count,first_video_date,last_video_date,short_form_ratio
UCF3zCyOModLIKG1C9mg4hsQ,KHƯƠNG DỪA CHANNEL,2018-02-03 04:47:47.000000,VN,441,5600000,3146361107,7296,UUF3zCyOModLIKG1C9mg4hsQ,Comedy,KHƯƠNG DỪA CHANNEL,8.25,Large,431245.0,600,53405168,89008.61333333333,44385.0,0.010728660000000001,365,0,0,2026-01-23 01:00:58,2026-05-07 05:00:36,0.6083
UCqL0-EknCK4m5pHrH79fOcw,TRẤN THÀNH TOWN,2014-08-16 09:47:07.000000,VN,502,5950000,1793730641,1118,UUqL0-EknCK4m5pHrH79fOcw,Comedy,Trấn Thành Town,11.72,Large,1604410.0,600,236929700,394882.8333333333,74406.0,0.019368222036727882,448,1,0,2022-04-17 12:43:40,2026-04-16 13:00:51,0.7467
UCoySKWOQJZT2zj95aTWn6ZA,Ken Khểnh,2019-10-21 10:40:34.242776,VN,121,5290000,3574029084,1026,UUoySKWOQJZT2zj95aTWn6ZA,Comedy,Ken Khểnh,6.54,Large,3483459.0,600,1011834418,1686390.6966666668,421810.0,0.019798968333333333,558,5,9,2023-07-02 12:57:15,2026-05-05 11:19:24,0.93
UCJtEP0GoT7Xndn3LZKrgVxA,Phim Hài Hay - Phim Hài Việt,2016-01-15 08:03:33.000000,VN,261,4460000,2158922356,3496,UUJtEP0GoT7Xndn3LZKrgVxA,Comedy,Phim Hài Hay - Phim Hài Việt,10.31,Large,617541.0,600,48430373,80717.28833333333,7994.0,0.004645966611018364,151,0,0,2025-01-05 12:00:44,2026-05-07 04:45:01,0.2517
UConnM5zwOP9vG_LPTYbRsAg,Lâm Vlog,2016-03-12 18:24:04.000000,VN,551,11200000,4550300904,743,UUonnM5zwOP9vG_LPTYbRsAg,Vlog,Lâm Vlog,10.15,Mega,6124227.0,600,3894309804,6490516.34,5584145.5,0.017831608333333332,0,6,7,2019-01-28 12:06:49,2026-05-06 11:00:06,0.0
UCiZJtnTQunvoY0xgv-Ce_rg,NTN,2016-05-04 11:08:43.000000,VN,221,10300000,2575169140,419,UUiZJtnTQunvoY0xgv-Ce_rg,Vlog,NTN,10.0,Mega,6145988.0,419,2575185800,6146028.162291169,4731748.0,0.02232854415274463,14,6,1,2016-05-05 05:00:05,2026-04-20 07:34:08,0.0334
UC7mc9-vty5WAeIYi0PIkONg,PHD - Phương Hữu Dưỡng,2017-03-16 16:05:50.000000,VN,294,9690000,5683261891,1389,UU7mc9-vty5WAeIYi0PIkONg,Vlog,PHD - Phương Hữu Dưỡng,9.14,Large,4091621.0,600,1238160476,2063600.7933333332,1442461.0,0.011192861666666666,84,2,1,2021-09-09 03:22:28,2026-05-06 04:01:00,0.14
UCeqMTpWWdiA9wpEfKMFb4jg,FLife TV,2020-05-11 05:09:50.161068,VN,139,7690000,3158498882,252,UUeqMTpWWdiA9wpEfKMFb4jg,Vlog,FLife TV,5.99,Large,12533726.0,252,3158812941,12534971.988095239,5268303.5,0.004628662698412699,24,22,0,2020-10-07 12:00:06,2026-04-30 13:01:49,0.0952
UCkG3QIDOyl6HF7EYudJ3JJg,Challenge Me - Hãy Thách Thức Tôi,2014-10-27 08:12:35.000000,VN,34,4310000,1681212797,1391,UUkG3QIDOyl6HF7EYudJ3JJg,Vlog,Challenge Me - Hãy Thách Thức Tôi,11.53,Large,1208636.0,600,319021854,531703.09,293794.0,0.011561489999999999,194,0,0,2022-05-03 12:00:03,2026-05-06 11:01:00,0.3233
UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang,2017-02-06 11:56:14.000000,VN,450,3360000,819454129,274,UUZE88kYvCKUKjM-G0uc8Duw,Vlog,Khoai Lang Thang,9.24,Large,2990708.0,275,819645333,2980528.4836363634,2681654.0,0.014192558394160584,32,0,0,2017-02-21 20:40:27,2026-04-18 23:16:39,0.1164
